id,title,author,genre,story,score,platform
541,우리집에 곰이 이사왔다,켄타,"에피소드, 감성","마법의 숲,테바의 최정예 요원 곰토토! 국가의 명령으로 인간 세상으로 파견되었다.털북숭이계의 에이스, 곰토토의 파란만장한 인간세상 개고생 라이프!",9.97,네이버 웹툰
542,미스터리 호러 지하철,단우,"스토리, 스릴러","지하철 환수역이 생긴 이후로 59일째마다 사람이 자살을 한다...이게 우연이라고??귀신 따위 믿지는 않지만, 귀신이든 뭐든! 빨리 막지 않으면 며칠 뒤 또 누군가가 자살할지도 몰라...!!",9.97,네이버 웹툰
543,오!주예수여,아현,"스토리, 로맨스",모든게 완벽한 여고생 주예수귀신을 보는 음침한 남고생 오수빈을 좋아해 구해주려다사고로 유체이탈 상황에 놓이게 되는데...,9.98,네이버 웹툰
544,기로,구들,"스토리, 판타지",숨겨진 고통을 꺼내어버린 남자스스로를 구하기 위한 기이한 마음의 여정,9.87,네이버 웹툰
545,탈(TAL),강임,"스토리, 판타지","어느 날 갑자기 등장한, 보통 인간과는 조금 다른 존재들.특수한 능력을 지니고 태어난 사람들의 이야기",9.94,네이버 웹툰
546,이별만화 완성도,손경석,"스토리, 개그",이별 앞에서 울고 웃는 우리들 2014 슈퍼루키 당선작!,9.85,네이버 웹툰
547,갸오오와 사랑꾼들,갸오오,"에피소드, 개그","차이고, 퇴짜맞는 것은 일상하지만 절대 기죽지 않아!!갸오오와 친구들의 좌충우돌 사랑 도전기",9.94,네이버 웹툰
548,[드라마원작] 한번 더 해요,미티 / 구구,"스토리, 드라마",결혼 8년차 부부. 성대광과 유선영. 대학시절 킹카 퀸카로 로 만나 결혼까지 골인했지만 이젠 지독한 현실에 서로에게 지쳐버린 권태기 부부일 뿐이었다. 그러던 어느 날..드라마 고백부부 원작 웹툰!,9.91,네이버 웹툰
549,계룡선녀전,돌배,"스토리, 드라마","고려, 조선시대를 거쳐 바리스타가 된 계룡산 선녀님 , 699세 환생한 서방님과 날개옷을 찾을 수 있을까",9.98,네이버 웹툰
550,그들에게 사면초가,소이,"스토리, 로맨스",어쩐지 인기가 절정인 여주인공 여주. 그녀에게 한꺼번에 구애하는 쌍둥이 네형제.,9.94,네이버 웹툰
551,선천적 얼간이들,가스파드,"에피소드, 개그",뭘해도 안되는 얼간이 신인류가 떴다!낙천적 우유부단 가스파드와말초적 친구들의 좌충우돌 라이프,9.98,네이버 웹툰
552,마술사,김세래,"스토리, 판타지",통일 대륙 칸테라 마지막 이야기.,9.93,네이버 웹툰
553,돌아온 럭키짱,김성모,"스토리, 액션",전설의 레전드 김성모의 웹툰 데뷔작.더이상의 자세한 설명은 생략한다.,3.8,네이버 웹툰
554,MZ-퓨어 이블,최훈 / 청설모,"스토리, 액션",순수한 악 이블과 정의의 요원 엠젯의 한 판 승부.거칠 것 없는 통괘한 액션 느와르!,9.97,네이버 웹툰
555,아일랜드 2부,윤인완 / 양경일,"스토리, 스릴러",악귀들이 가득찬 섬 제주도. 이를 물리치는 토막살인범 반. 웹툰으로 새롭게 돌아온 퇴마만화의 전설 아일랜드 2부,9.97,네이버 웹툰
556,심심한 마왕,김상민,"스토리, 개그",평화로운 ? 마계에서 평화롭게 ? 살아가는 심심한 마왕의 심심하지만은 않은 이야기,9.86,네이버 웹툰
557,인간의 숲,황준호,"스토리, 스릴러","실험을 위해 사이코패스 살인마들을 모아놓은 수용소가 마비되면서 벌어지는 폭력, 그리고 죽음. 악연 , 공부하기 좋은날 황준호 작가 신작 인간의 숲",9.98,네이버 웹툰
558,슈퍼 시크릿,이온,"에피소드, 로맨스",평범한 여대생 은호와 조금 특별한 소꿉친구 견우의 술래잡기. 은호만 모르는 이웃집의 비밀들이 밝혀진다,9.98,네이버 웹툰
559,구름의 이동속도,김이랑,"에피소드, 드라마",흙수저 탈출만이 유일한 목표?홍상완의 뜻대로 안풀리는 고교생활 이야기,9.98,네이버 웹툰
560,조선좀비실록,곤마,"스토리, 판타지","알 수 없는 역병으로 사람들이 좀비로 변해버린 조선,그 역병을 멈출 수 있는 사람은 오직 그녀 뿐! 목숨 걸고 그녀를 지켜야 한다!",9.85,네이버 웹툰
561,목욕의 신,하일권,"스토리, 드라마",신의 손을 가진 남자최고의 목욕관리사가 되기위한 때밀이 배틀이 시작된다.,9.98,네이버 웹툰
562,마주쳤다,하일권 X 네이버웹툰,"스토리, 드라마","기억해줘, 우리가 마주쳤던 순간들. 세상에 없던 나새끼 로맨스 액션툰, 마주쳤다",9.83,네이버 웹툰
563,내 ID는 강남미인!,기맹기,"스토리, 로맨스","못생긴 얼굴에서 미인으로 새롭게 태어난 그녀, 강미래! 그런데... 어디서 본 듯 한데?",9.83,네이버 웹툰
564,2017 루키 단편선-지옥...,웹툰작가,"옴니버스, 드라마","전설 이현세, 이두호 작가가 직접 프로듀싱한지옥캠프 단편선 일곱번째 시즌!",9.88,네이버 웹툰
565,동네변호사 조들호 시즌2,해츨링,"스토리, 드라마","당신을 위한, 당신의 편에 선 변호사가 있다!",8.01,네이버 웹툰
566,오늘부터 주군,박카린,"스토리, 드라마","문제 고딩 해도영, 왕세자로 부활!? 당황스러운 시대에 만난 당황스러운 사람들의 코믹 판타지 드라마!",9.64,네이버 웹툰
567,오늘도 핸드메이드!,소영,"에피소드, 감성","나만 보기엔 너무 예쁘고 나만 느끼기엔 너무나 따뜻한,손으로 하는 모든 이야기",9.97,네이버 웹툰
568,DEY 호러채널,DEY,"옴니버스, 스릴러",데드데이즈 작가의 새로운 공포 단편선기발하고 소름 돋는 무서운 이야기들로 만들어 낸 실험적인 옴니버스 공포웹툰.효과툰을 활용한 절묘한 연출로 다채로운 공포를 보여준다.,9.95,네이버 웹툰
569,파도의 주인,이뫄,"스토리, 판타지",환상처럼 나타난 두 개의 섬그곳에서 나를 맞은 것은 기이한 피부와 붉은 눈을 가진 남자였다.,9.98,네이버 웹툰
570,데모니악,후렛샤 / 김홍태,"스토리, 스릴러",귀신을 믿지 않는 퇴마사와악령을 쫓아 지구 반대편에서 온 사제. 빙의 와 마야고 의 모든 미스터리가 풀린다.,9.95,네이버 웹툰
571,달콤한 인생_스페셜 에피소드,이동건,"스토리, 드라마","커플과 싱글, 직장인과 백수의 달콤한 에피소드가 왜인지 씁쓸한 이유는?이동건 작가의 데뷔작 달콤한 인생 , 대표 에피소드 특별 재연재!",9.98,네이버 웹툰
572,천국의 신화 6부,올댓스토리 / 이현세,"스토리, 시대극","10년을 기다린 이현세 화백의 천국의 신화, 그 다음이야기.새로운 대단원의 막이 오른다.",9.93,네이버 웹툰
573,공감.jpg,임총,"에피소드, 개그","이거 나만 그런거 아니지? 응, 너만 그런거 아니야. 반박불가 공감이 밀려온다.",4.44,네이버 웹툰
574,야부리맨,미티,"스토리, 개그",말하는대로 모든 것이 이루어진다?! 역대급 슈퍼히어로의 초특급 재능낭비! 미티 작가의 컷툰 신작,9.84,네이버 웹툰
575,킬러 김빵빵,김레옹,"옴니버스, 개그",사악한 킬러 김빵빵으로부터 위협받는 시민들너도 예외는 아니다!,9.82,네이버 웹툰
576,차원이 다른 만화,요엔,"옴니버스, 개그",그는 뭔가 다르다. 뭐가...? 차원이!,9.95,네이버 웹툰
577,2017 멋진 신세계,웹툰작가,"옴니버스, 스릴러",지배할 것인가 지배당할 것인가!당신 앞에 다가온 충격적인 미래.2017 네이버 웹툰작가 디스토피아 특집 단편선.,9.93,네이버 웹툰
578,당신만 몰라!,유리아,"스토리, 로맨스","여자에겐 사랑하는 사람에게 목숨걸고 숨겨야 하는 것들이 있다!달콤살벌 그녀들의 비밀 이야기, 당신만 몰라!",9.96,네이버 웹툰
579,군인RPG,십박,"스토리, 개그",전역하고 싶어서 북으로 향한 이병의 탈남,9.76,네이버 웹툰
580,문유,조석,"스토리, 판타지",지구가 멸망했다. 나는 혼자 달에 있다. 마음의 소리 조석의 우주를 넘나드는 판타지 시크 개그!!,9.96,네이버 웹툰
581,웃지 않는 개그반 시즌3,현용민,"스토리, 개그",미친예술고 개그반에 저주가 내려졌다!,8.72,네이버 웹툰
582,이런 영웅은 싫어,삼촌,"스토리, 판타지","실존하는 수많은 영물들과 싸우는 히어로, 스푼 의 대활약 이야기!",9.97,네이버 웹툰
583,생활의참견,김양수,"에피소드, 일상","쉽게 지나치는 일상과 지나간 추억 속에서 발견하는 유쾌한 웃음, 삶의 유머를 녹여낸 황당유쾌추억생활만화!",9.95,네이버 웹툰
584,송곳 4~5부,최규석,"스토리, 드라마",당신도 언제든 부당해고의 대상이 될 수 있다.강자의 갑 질에 맞서는 우리 주변 을 들의 이야기,9.94,네이버 웹툰
585,낮에 뜨는 달,헤윰,"스토리, 드라마",시간이 멈춘 남자와 흘러가는 여자.과거와 현재를 오가는 갈등에 대한 이야기.,9.93,네이버 웹툰
586,달수 이야기,산삼,"스토리, 개그","산촌 남고에 전학 온 김주혜, 아니 김달수의 고된 남장 생활.본 작품은 2014 네이버 수퍼루키 공모전 당선작품입니다.",9.98,네이버 웹툰
587,오늘도 형제는 평화롭다,GIMS,"에피소드, 개그","돈독한 형제들의 이야기, 사건의 중심엔 늘 그들이 있다.",9.97,네이버 웹툰
588,절벽귀,오성대,"스토리, 스릴러",아무도 없는 절벽 한가운데 고립된 두 남자.절벽 끝에서 펼쳐지는 숨막히는 이야기,9.97,네이버 웹툰
589,시노딕,현욱,"스토리, 판타지",달이 사라진 세계사냥꾼과 괴물의 이야기,9.94,네이버 웹툰
590,녹두전,혜진양,"스토리, 로맨스","17세기 조선, 장가를 가기 싫은 사내와 기생이 되기 싫은 처자의 엇갈리고 이어지는 연애담",9.98,네이버 웹툰
591,열일곱,플레이리스트,"스토리, 로맨스","가장 순수하고 찬란했던 시절, 열일곱 살의 넌 누굴 좋아했니? 우리를 설레게 했던 웹드라마 열일곱 이 포토툰으로 찾아옵니다.",5.7,네이버 웹툰
